assembly_no,assembly_desc,bom_seq,ref_designator,material,material_desc,qty,material_comment,footprint,mfg1,mfg1_pn,mfg2,mfg2_pn,dist,dist_pn,Comments,life_cycle_active,inventory_check,XREF_required
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",0,,WRAITH.SCH.Z1,"SCH,PCB,SPECTER,WRAITH",1,,,,,,,,,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",3,"R43, R119, R144, R150",GENERIC,"RES,0603R,[N/A]",4,[N/A],0603R,,,,,,,"DEL R29, R31 – sht 12",TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",7,JP2,TSM-103-01-L-DV,"CONN,HEADER,SM,3x2P",1,TSM-103-01-L-DV,TSM-103-01-x-DV,SAMTEC,TSM-103-01-L-DV,SAMTEC,TSM-103-01-F-DV,digikey,SAM10786-ND,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",9,"TP1, TP2, TP3, TP4, TP5, TP6, TP7",,TP,7,TP,TP_C40,,,,,,,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",11,Z1,STPS1L40M,"DIODE,SCHOTTKY 40V 1A STMITE ",1,STPS1L40M,DO-216AA,ST,STPS1L40M,,,,,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",12,U16,STMPS2151STR,"IC,",1,STMPS2151STR,SOT23-5,ST,STMPS2151STR,,,,,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",13,U14,STM32F469NIH6,"IC,MCU,ST32F469,BGA216",1,STM32F469NIH6,BGA216_0R8_13X13,ST,STM32F469NIH6U cut 1.0,,,digikey,497-16070-ND,$$$,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",15,U13,STLD40DPUR,"IC,LED DRVR RGLTR DIM 20MA 8QFN",1,STLD40DPUR,SON8_0R65_3X3,ST,STLD40DPUR,,,digikey,497-8927-1-ND,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",17,CN5,SSW-110-22-F-S-VS,"CONN,",1,SSW-110-22-F-S-VS,SSW-110-22-X-S-VS,SAMTEC,SSW-110-22-F-S-VS,SAMTEC,SSW-110-22-G-S-VS,digikey,SSW-110-22-F-S-VS-ND,add back 11/03/2020 to maintain shield interface. Pins may be dead/null though,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",18,"CN6, CN7",SSW-108-22-F-S-VS,"CONN,",2,SSW-108-22-F-S-VS,SSW-108-22-X-S-VS,SAMTEC,SSW-108-22-F-S-VS,,,digikey,SSW-108-22-F-S-VS-ND,KEEP OR CHANGE (7-8p required),TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",19,CN8,SSW-106-22-F-S-VS,"CONN,",1,SSW-106-22-F-S-VS,SSW-106-22-X-S-VS,SAMTEC,SSW-106-22-F-S-VS,,,digikey,SSW-106-22-F-S-VS-ND,add back 11/03/2020 to maintain shield interface. Pins may be dead/null though,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",20,"LD3, LD5, LD9",GENERIC,"LED,RED",3,Red,0603D,,,,,,,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",21,"H1, H2, H3, H4",,"HW,HOLE",4,POSITION HOLE,HOLE_C5R5D3,,,,,,,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",22,CN9,PJS008-2003-0,"CONN,",1,PJS008-2003-0,MSD_PJS008_,Yamaichi,PJS008-2003-0,HiRose,DM3BT-DSF-PEJS,Mouser,945-PJS008-2003-0,Yamaichi PJS008-2000-0 is obsolete. Updated 11/14/20,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",24,LD2,GENERIC,"LED,",1,Orange,0603D,,,,,,,,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",26,X2,ECS-80-12-33-JGN-TR,"OSC,XTAL,8.0000MHZ 12PF SMD ",1,ECS-80-12-33-JGN-TR,"4-SMD 0.126"" L x 0.098"" W (3.20mm x 2.50mm) ",ECS,ECS-80-12-33-JGN-TR,,NX3225GD-8.000M-STD-CRA-3,Digikey,50-ECS-80-12-33-JGN-CT-ND,DEL X1 – sht 12. Changed P/N to ECS from NDK,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",27,X3,ABS07-32.768KHZ-6-4-T,"OSC,XTAL,32.768K",1,NX3215SA-32.768K,3.2 mm x 1.5 mm,Abracon,ABS07-32.768KHZ-6-4-T,,,Mouser,815-ABS0732768KHZ64T,"NX3215SA-32.768K not well defined, low inventory. Replaced.",TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",28,U2,MP34DT05TR-A,"IC,MIC,MEMS",1,MP34DT05TR-A,MP34DT01TR,ST,MP34DT05TR-A,,,Digikey,497-17809-1-ND,"DEL U1, U6, replace old ST P/N = MP34DT01TR ",TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",29,U12,S25FL128LAGMFI013,"IC,QSPI,128Mbit,SOIC-8",1,S25FL128LAGMFI013,SOIC-8,Cypress Semiconductor,S25FL128LAGMFI013,,,Arrow,S25FL128LAGMFI013,N25Q128A13EF840F = obsolete. Changed,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",30,U11,IS42S32400F-7BL,"IC,SDRAM,1Mx32x4,BGA,143MHz",1,IS42S32400F-7BL,TF-BGA,ISSI,IS42S32400F-7BL,ISSI,IS42S32400F-7BLI,,,REPLACEMENT FOR MICRON SDRAM.   IS42S32400F-7BLI = industrial temp rating -40 to +85 C,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",32,U10,AP63205WU-7,"IC,PMIC,BUCK,5V",1,AP63205WU-7,TSOT26 ,Diodes Inc,AP63205WU-7,,,,,Replace ST linear regulator for buck converter. Requires new caps and 4.7uH inductor,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",33,U7,AP63203WU-7,"IC,PMIC,BUCK,3.3V",1,AP63203WU-7,TSOT26 ,Diodes Inc,AP63203WU-7,,,,,Replace ST linear regulator for buck converter. Requires new caps and 3.9uH inductor,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",35,ZZ1,FRD400B25014-H-CT,"LCD,DISP,3.97in,TFT,800x480,MIPI",1,FRD400B25014-H-CT,,"Shenzhen Frida LCD Co., Ltd.",FRD400B25014-H-CT,KJD,KM-040TMP-02-A,alibaba,https://www.alibaba.com/product-detail/3-97-inch-FRD400B25014-H-CT_60671924283.html?spm=a2700.details.deiletai6.4.3a3b4a4eBjmlhR,4 inches TFT display MIPI,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",37,"LD1, LD8",GENERIC,"LED,",2,Green,0603D,,,,,,,DEL LD7 – sht 11,TRUE,TRUE,FALSE
WRAITH.001.Z4,"ASSY,PCB,SPECTER,WRAITH",38,CN10,FH26-25S-0.3SHW,"CONN,",1,FH26-25S-0.3SHW,FPC25_FPC03025-1420,ATOM,FPC03025-14201,Hirose,FH26-25S-0.3SHW,,,check alibaba,TRUE,FALSE,FALSE
